State,Map Region,District,Suburb Name,Postcode
ACT,Canberra,Tuggeranong,Tharwa,2620
ACT,Canberra,Tuggeranong,Theodore,2905
ACT,Canberra,Tuggeranong,Tuggeranong,2900
ACT,Canberra,Tuggeranong,Wanniassa,2903
ACT,Canberra,Tuggeranong,Wanniassa Hills,2903
ACT,Canberra,Tuggeranong,Woden Valley,2606
ACT,Canberra,Weston Creek,Chapman,2611
ACT,Canberra,Weston Creek,Coree,2611
ACT,Canberra,Weston Creek,Corin Dam,2620
ACT,Canberra,Weston Creek,Cotter Dam,2620
ACT,Canberra,Weston Creek,Cotter River,2620
ACT,Canberra,Weston Creek,Duffy,2611
ACT,Canberra,Weston Creek,Fisher,2611
ACT,Canberra,Weston Creek,Holder,2611
ACT,Canberra,Weston Creek,McCubbin Rise,2611
ACT,Canberra,Weston Creek,Mount Stromlo,2611
ACT,Canberra,Weston Creek,Pierces Creek,2611
ACT,Canberra,Weston Creek,Rivett,2611
ACT,Canberra,Weston Creek,Stirling,2611
ACT,Canberra,Weston Creek,Stromlo,2611
ACT,Canberra,Weston Creek,Stromlo District,2611
ACT,Canberra,Weston Creek,Uriarra,2611
ACT,Canberra,Weston Creek,Uriarra,2611
ACT,Canberra,Weston Creek,Waramanga,2611
ACT,Canberra,Weston Creek,Weston,2611
ACT,Canberra,Weston Creek,Weston Creek,2611
ACT,Canberra,Woden Valley,Chifley,2606
ACT,Canberra,Woden Valley,Curtin,2605
ACT,Canberra,Woden Valley,Farrer,2607
ACT,Canberra,Woden Valley,Garran,2605
ACT,Canberra,Woden Valley,Hughes,2605
ACT,Canberra,Woden Valley,Isaacs,2607
ACT,Canberra,Woden Valley,Lyons,2606
ACT,Canberra,Woden Valley,Mawson,2607
ACT,Canberra,Woden Valley,O'Malley,2606
ACT,Canberra,Woden Valley,Pearce,2607
ACT,Canberra,Woden Valley,Phillip,2606
ACT,Canberra,Woden Valley,Southside,2606
ACT,Canberra,Woden Valley,Swinger Hill,2606
ACT,Canberra,Woden Valley,Torrens,2607
ACT,Canberra,Woden Valley,Woden,2606
ACT,Other Territories,Other Territories,Canberra Central,
ACT,Other Territories,Other Territories,Jerrabomberra,
ACT,Other Territories,Other Territories,Melrose Valley,
ACT,Other Territories,Other Territories,Mt. Clear,
ACT,Other Territories,Other Territories,Rendezvous Creek,
ACT,Other Territories,Other Territories,Wreck Bay,2540
NSW,Albury - Wodonga Region,Albury,Albury,2640
NSW,Albury - Wodonga Region,Albury,East Albury,2640
NSW,Albury - Wodonga Region,Albury,Ettamogah,2640
NSW,Albury - Wodonga Region,Albury,Glenroy,2640
NSW,Albury - Wodonga Region,Albury,Glenroy,2640
NSW,Albury - Wodonga Region,Albury,Hamilton Valley,2641
NSW,Albury - Wodonga Region,Albury,Lake Hume Village,3691
NSW,Albury - Wodonga Region,Albury,Lavington,2641
NSW,Albury - Wodonga Region,Albury,North Albury,2640
NSW,Albury - Wodonga Region,Albury,South Albury,2640
NSW,Albury - Wodonga Region,Albury,Splitters Creek,2640
NSW,Albury - Wodonga Region,Albury,Springdale Heights,2641
NSW,Albury - Wodonga Region,Albury,Table Top,2640
NSW,Albury - Wodonga Region,Albury,Thurgoona,2640
NSW,Albury - Wodonga Region,Albury,West Albury,2640
NSW,Albury - Wodonga Region,Albury,Wirlinga,2640
NSW,Albury - Wodonga Region,Corowa Shire,Buraja,2646
NSW,Albury - Wodonga Region,Corowa Shire,Buraja,2646
NSW,Albury - Wodonga Region,Corowa Shire,Collendina,2646
NSW,Albury - Wodonga Region,Corowa Shire,Coreen,2646
NSW,Albury - Wodonga Region,Corowa Shire,Corowa,2646
NSW,Albury - Wodonga Region,Corowa Shire,Daysdale,2646
NSW,Albury - Wodonga Region,Corowa Shire,Hopefield,2646
NSW,Albury - Wodonga Region,Corowa Shire,Howlong,2643
NSW,Albury - Wodonga Region,Corowa Shire,Lowesdale,2646
NSW,Albury - Wodonga Region,Corowa Shire,Morebringer,2643
NSW,Albury - Wodonga Region,Corowa Shire,Morebringer,2643
NSW,Albury - Wodonga Region,Corowa Shire,Mulwala,2647
NSW,Albury - Wodonga Region,Corowa Shire,Quat Quatta,2643
NSW,Albury - Wodonga Region,Corowa Shire,Quat Quatta,2643
NSW,Albury - Wodonga Region,Corowa Shire,Redlands,2646
NSW,Albury - Wodonga Region,Corowa Shire,Rennie,2646
NSW,Albury - Wodonga Region,Corowa Shire,Ringwood,2646
NSW,Albury - Wodonga Region,Corowa Shire,Sanger,2646
NSW,Albury - Wodonga Region,Corowa Shire,Savernake,2646
NSW,Albury - Wodonga Region,Corowa Shire,South Corowa,2646
NSW,Albury - Wodonga Region,Hume Shire,Alma Park,2659
NSW,Albury - Wodonga Region,Hume Shire,Balldale,2646
NSW,Albury - Wodonga Region,Hume Shire,Bowna,2644
NSW,Albury - Wodonga Region,Hume Shire,Brocklesby,2642
NSW,Albury - Wodonga Region,Hume Shire,Bungowannah,2640
NSW,Albury - Wodonga Region,Hume Shire,Burrumbuttock,2642
NSW,Albury - Wodonga Region,Hume Shire,Carabost,2650
NSW,Albury - Wodonga Region,Hume Shire,Castlestead,2642
NSW,Albury - Wodonga Region,Hume Shire,Castlestead,2659
NSW,Albury - Wodonga Region,Hume Shire,Cookardinia,2650
NSW,Albury - Wodonga Region,Hume Shire,Coppabella,2644
NSW,Albury - Wodonga Region,Hume Shire,Culcairn,2660
NSW,Albury - Wodonga Region,Hume Shire,Cumboroona,2644
NSW,Albury - Wodonga Region,Hume Shire,Cumboroona,2644
NSW,Albury - Wodonga Region,Hume Shire,Gerogery,2642
NSW,Albury - Wodonga Region,Hume Shire,Gerogery West,2642
NSW,Albury - Wodonga Region,Hume Shire,Gerogery West,2642
NSW,Albury - Wodonga Region,Hume Shire,Glenellen,2642
NSW,Albury - Wodonga Region,Hume Shire,Goombargana,2646
NSW,Albury - Wodonga Region,Hume Shire,Henty,2658
NSW,Albury - Wodonga Region,Hume Shire,Holbrook,2644
NSW,Albury - Wodonga Region,Hume Shire,Huon,2642
NSW,Albury - Wodonga Region,Hume Shire,Huon,2642
NSW,Albury - Wodonga Region,Hume Shire,Jindera,2642
NSW,Albury - Wodonga Region,Hume Shire,Lankeys Creek,2644
NSW,Albury - Wodonga Region,Hume Shire,Little Billabong,2644
NSW,Albury - Wodonga Region,Hume Shire,Moorwatha,2640
NSW,Albury - Wodonga Region,Hume Shire,Morven,2660
NSW,Albury - Wodonga Region,Hume Shire,Mountain Creek,2644
NSW,Albury - Wodonga Region,Hume Shire,Mullengandra,2644
NSW,Albury - Wodonga Region,Hume Shire,Talmalmo,2640
NSW,Albury - Wodonga Region,Hume Shire,Wagra,2640
NSW,Albury - Wodonga Region,Hume Shire,Wagra,2640
NSW,Albury - Wodonga Region,Hume Shire,Walbundrie,2642
NSW,Albury - Wodonga Region,Hume Shire,Walla Walla,2659
NSW,Albury - Wodonga Region,Hume Shire,Wantagong,2644
NSW,Albury - Wodonga Region,Hume Shire,Woomargama,2644
NSW,Albury - Wodonga Region,Hume Shire,Wymah,2640
NSW,Albury - Wodonga Region,Hume Shire,Yarara,2644
NSW,Central Coast,Gosford,Avoca Beach,2251
NSW,Central Coast,Gosford,Bar Point,2083
NSW,Central Coast,Gosford,Bensville,2251
NSW,Central Coast,Gosford,Big Jims Point,2083
NSW,Central Coast,Gosford,Blackwall,2256
NSW,Central Coast,Gosford,Booker Bay,2257
NSW,Central Coast,Gosford,Bouddi,2251
NSW,Central Coast,Gosford,Box Head,2257
NSW,Central Coast,Gosford,Calga,2250
NSW,Central Coast,Gosford,Cheero Point,2083
NSW,Central Coast,Gosford,Cogra Bay,2083
NSW,Central Coast,Gosford,Copacabana,2251
NSW,Central Coast,Gosford,Daleys Point,2257
NSW,Central Coast,Gosford,Davistown,2251
NSW,Central Coast,Gosford,East Gosford,2250
NSW,Central Coast,Gosford,Empire Bay,2257
NSW,Central Coast,Gosford,Erina,2250
NSW,Central Coast,Gosford,Erina Heights,2260
NSW,Central Coast,Gosford,Erina Valley,2250
NSW,Central Coast,Gosford,Ettalong,2257
NSW,Central Coast,Gosford,Ettalong Beach,2257
NSW,Central Coast,Gosford,Forresters Beach,2260
NSW,Central Coast,Gosford,Glenworth Valley,2250
NSW,Central Coast,Gosford,Gosford,2250
NSW,Central Coast,Gosford,Gosford East,2250
NSW,Central Coast,Gosford,Gosford West,2250
NSW,Central Coast,Gosford,Gosford West,2250
NSW,Central Coast,Gosford,Greengrove,2250
NSW,Central Coast,Gosford,Green Point,2251
NSW,Central Coast,Gosford,Gunderman,2775
NSW,Central Coast,Gosford,Hardys Bay,2257
NSW,Central Coast,Gosford,Holgate,2250
NSW,Central Coast,Gosford,Horsfield Bay,2256
NSW,Central Coast,Gosford,Kariong,2250
NSW,Central Coast,Gosford,Killcare,2257
NSW,Central Coast,Gosford,Killcare Heights,2257
NSW,Central Coast,Gosford,Kincumber,2251
NSW,Central Coast,Gosford,Kincumber South,2251
NSW,Central Coast,Gosford,Koolewong,2256
NSW,Central Coast,Gosford,Kulnura,2250
NSW,Central Coast,Gosford,Lisarow,2250
NSW,Central Coast,Gosford,Little Wobby,2256
NSW,Central Coast,Gosford,Lower Mangrove,2250
NSW,Central Coast,Gosford,Macmasters Beach,2251
NSW,Central Coast,Gosford,Mangrove Creek,2250
NSW,Central Coast,Gosford,Mangrove Mountain,2250
NSW,Central Coast,Gosford,Marlow,2775
NSW,Central Coast,Gosford,Matcham,2250
NSW,Central Coast,Gosford,Merritts Wharf,2257
NSW,Central Coast,Gosford,Mooney Mooney,2083
NSW,Central Coast,Gosford,Mooney Mooney Creek,2250
NSW,Central Coast,Gosford,Mount Elliot,2250
NSW,Central Coast,Gosford,Mount White,2250
NSW,Central Coast,Gosford,Narara,2250
NSW,Central Coast,Gosford,Niagara Park,2250
NSW,Central Coast,Gosford,North Avoca,2260
NSW,Central Coast,Gosford,North Gosford,2250
NSW,Central Coast,Gosford,Patonga,2256
NSW,Central Coast,Gosford,Patonga Creek,2256
NSW,Central Coast,Gosford,Patonga Creek,2256
NSW,Central Coast,Gosford,Pearl Beach,2256
NSW,Central Coast,Gosford,Peats Ridge,2250
NSW,Central Coast,Gosford,Phegans Bay,2256
NSW,Central Coast,Gosford,Picketts Valley,2251
NSW,Central Coast,Gosford,Point Clare,2250
NSW,Central Coast,Gosford,Point Frederick,2250
NSW,Central Coast,Gosford,Pretty Beach,2257
NSW,Central Coast,Gosford,Saratoga,2251
NSW,Central Coast,Gosford,Somersby,2250
NSW,Central Coast,Gosford,Spencer,2775
NSW,Central Coast,Gosford,Springfield,2250
NSW,Central Coast,Gosford,Springfield,2250
NSW,Central Coast,Gosford,St Huberts Island,2257
NSW,Central Coast,Gosford,Tascott,2250
NSW,Central Coast,Gosford,Terrigal,2260
NSW,Central Coast,Gosford,Umina,2257
NSW,Central Coast,Gosford,Umina,2256
NSW,Central Coast,Gosford,Umina Beach,2257
NSW,Central Coast,Gosford,Upper Mangrove,2250
NSW,Central Coast,Gosford,Wagstaffe,2257
NSW,Central Coast,Gosford,Wamberal,2260
NSW,Central Coast,Gosford,Wendoree Park,2250
NSW,Central Coast,Gosford,West Gosford,2250
NSW,Central Coast,Gosford,Wondabyne,2256
NSW,Central Coast,Gosford,Woy Woy,2256
NSW,Central Coast,Gosford,Woy Woy Bay,2256
NSW,Central Coast,Gosford,Wyoming,2250
NSW,Central Coast,Gosford,Yattalunga,2251
NSW,Central Coast,Wyong,Alison,2259
NSW,Central Coast,Wyong,Bateau Bay,2261
NSW,Central Coast,Wyong,Berkeley Vale,2261
NSW,Central Coast,Wyong,Blue Bay,2261
NSW,Central Coast,Wyong,Blue Haven,2262
NSW,Central Coast,Wyong,Budgewoi,2262
NSW,Central Coast,Wyong,Budgewoi Peninsula,2262
NSW,Central Coast,Wyong,Buff Point,2262
NSW,Central Coast,Wyong,Bushells Ridge,2259
NSW,Central Coast,Wyong,Canton Beach,2263
NSW,Central Coast,Wyong,Cedar Brush Creek,2259
NSW,Central Coast,Wyong,Central Mangrove,2250
NSW,Central Coast,Wyong,Chain Valley Bay,2259
NSW,Central Coast,Wyong,Chain Valley Bay South,2259
NSW,Central Coast,Wyong,Charmhaven,2263
NSW,Central Coast,Wyong,Chittaway Bay,2261
NSW,Central Coast,Wyong,Chittaway Point,2261
NSW,Central Coast,Wyong,Colongra,2262
NSW,Central Coast,Wyong,Crangan Bay,2259
NSW,Central Coast,Wyong,Dooralong,2259
NSW,Central Coast,Wyong,Doyalson,2262
NSW,Central Coast,Wyong,Doyalson North,2262
NSW,Central Coast,Wyong,Durren Durren,2259
NSW,Central Coast,Wyong,Fountaindale,2258
NSW,Central Coast,Wyong,Frazer Park,2259
NSW,Central Coast,Wyong,Freemans,2259
NSW,Central Coast,Wyong,Glenning Valley,2261
NSW,Central Coast,Wyong,Gorokan,2263
NSW,Central Coast,Wyong,Gwandalan,2259
NSW,Central Coast,Wyong,Halekulani,2262
NSW,Central Coast,Wyong,Halloran,2259
NSW,Central Coast,Wyong,Hamlyn Terrace,2259
NSW,Central Coast,Wyong,Jewfish Point,2263
NSW,Central Coast,Wyong,Jewfish Point,2263
NSW,Central Coast,Wyong,Jilliby,2259
NSW,Central Coast,Wyong,Kangy Angy,2258
NSW,Central Coast,Wyong,Kanwal,2259
NSW,Central Coast,Wyong,Kiar,2259
NSW,Central Coast,Wyong,Killarney Vale,2261
NSW,Central Coast,Wyong,Kingfisher Shores,2259
NSW,Central Coast,Wyong,Lake Haven,2263
NSW,Central Coast,Wyong,Lake Munmorah,2259
NSW,Central Coast,Wyong,Lakeside,2263
NSW,Central Coast,Wyong,Lakeside,2263
NSW,Central Coast,Wyong,Lemon Tree,2259
NSW,Central Coast,Wyong,Little Jilliby,2259
NSW,Central Coast,Wyong,Long Jetty,2261
NSW,Central Coast,Wyong,Magenta,2261
NSW,Central Coast,Wyong,Mannering Park,2259
NSW,Central Coast,Wyong,Mardi,2259
NSW,Central Coast,Wyong,Moonee,2259
NSW,Central Coast,Wyong,Munmorah,2261
NSW,Central Coast,Wyong,Munmorah,2261
NSW,Central Coast,Wyong,Norah Head,2263
NSW,Central Coast,Wyong,Noraville,2263
NSW,Central Coast,Wyong,Ourimbah,2258
NSW,Central Coast,Wyong,Palmdale,2258
NSW,Central Coast,Wyong,Palm Grove,2258
NSW,Central Coast,Wyong,Point Wolstoncroft,2259
NSW,Central Coast,Wyong,Ravensdale,2259
NSW,Central Coast,Wyong,Rocky Point,2259
NSW,Central Coast,Wyong,San Remo,2262
NSW,Central Coast,Wyong,Shelly Beach,2261
NSW,Central Coast,Wyong,South Tacoma,2259
NSW,Central Coast,Wyong,South Tacoma,2259
NSW,Central Coast,Wyong,Summerland Point,2259
NSW,Central Coast,Wyong,Tacoma,2259
NSW,Central Coast,Wyong,Tacoma South,2259
NSW,Central Coast,Wyong,The Entrance,2261
NSW,Central Coast,Wyong,The Entrance North,2261
NSW,Central Coast,Wyong,Toowoon Bay,2261
